Region,Race/Ethnicity,% CWP of Felonies,Total Count CWP,Total Count Felonies,Percent of Total CWP,Percent of Total Felonies,% Bail Set or Remanded CWP,% Bail Set or Remanded Felonies
Bronx,All,24.34%,708,2909,100.00%,100.00%,35.88%,26.50%
Bronx,Black,26.77%,513,1916,72.46%,65.86%,35.67%,26.72%
Bronx,White/Non-hispanic,21.79%,17,78,2.40%,2.68%,41.18%,19.23%
NYC,All,15.24%,2039,13375,100.00%,100.00%,51.20%,28.77%
NYC,Black,20.91%,1646,7870,80.73%,58.84%,51.58%,31.30%
NYC,White/Non-hispanic,6.92%,91,1315,4.46%,9.83%,48.35%,22.74%
NYS,All,13.53%,3947,29168,100.00%,100.00%,50.06%,27.82%
NYS,Black,19.74%,2955,14969,74.87%,51.32%,51.03%,30.74%
NYS,White/Non-hispanic,5.64%,281,4980,7.12%,17.07%,43.77%,21.49%
