Region,Race/Ethnicity,Total Count,Percent of Total,% Bail Set or Remanded,% ROR,% NMR,% Made Bail,% Assigned Counsel
Bronx,All,2909,100.00%,26.50%,57.13%,8.46%,5.74%,86.04%
Bronx,Black,1916,65.86%,26.72%,56.00%,9.13%,5.95%,87.89%
Bronx,White/Non-hispanic,78,2.68%,19.23%,70.51%,3.85%,6.41%,73.08%
NYC,All,13375,100.00%,28.77%,54.86%,13.53%,6.10%,82.21%
NYC,Black,7870,58.84%,31.30%,52.38%,13.53%,6.62%,86.67%
NYC,White/Non-hispanic,1315,9.83%,22.74%,61.14%,14.07%,5.55%,71.94%
NYS,All,29168,100.00%,27.82%,54.19%,14.25%,5.07%,77.80%
NYS,Black,14969,51.32%,30.74%,51.67%,14.00%,5.73%,84.95%
NYS,White/Non-hispanic,4980,17.07%,21.49%,59.92%,14.90%,3.94%,67.37%
