Region,Race/Ethnicity,Total Count,Percent of Total,% Bail Set or Remanded,% ROR,% NMR,% Made Bail,% Assigned Counsel
Bronx,All,2853,100%,46%,10%,19%,14%,87%
Bronx,Black,2145,75%,46%,10%,18%,15%,88%
Bronx,White/Non-Hispanic,27,1%,15%,26%,37%,0%,81%
NYC,All,6028,100%,58%,11%,17%,16%,81%
NYC,Black,4765,79%,59%,10%,17%,16%,84%
NYC,White/Non-Hispanic,248,4%,47%,21%,16%,17%,56%
NYS,All,14101,100%,58%,13%,15%,12%,79%
NYS,Black,10293,73%,60%,11%,15%,13%,82%
NYS,White/Non-Hispanic,1264,9%,50%,26%,14%,9%,69%
