Quarter,Total Cases,% Bail Set or Remanded
01-2020,1008,52%
04-2020,978,52%
07-2020,1508,69%
10-2020,2072,62%
01-2021,1865,60%
04-2021,1771,59%
07-2021,2360,62%
10-2021,2335,57%
01-2022,2302,58%
04-2022,2651,62%
07-2022,2854,64%
10-2022,2461,59%
01-2023,2449,58%
04-2023,2529,60%
