Region,Race/Ethnicity,Total Count,Percent of Total,% Bail Set or Remanded,% ROR,% NMR,% Made Bail,% Assigned Counsel
Bronx,All,4438,100%,43%,20%,11%,11%,85%
Bronx,Black,3398,77%,43%,19%,11%,11%,86%
Bronx,White/Non-Hispanic,67,2%,39%,28%,9%,13%,57%
NYC,All,11107,100%,58%,19%,13%,18%,77%
NYC,Black,8971,81%,59%,19%,12%,19%,80%
NYC,White/Non-Hispanic,442,4%,40%,32%,17%,15%,63%
NYS,All,25503,100%,58%,19%,12%,13%,76%
NYS,Black,18850,74%,60%,17%,11%,14%,79%
NYS,White/Non-Hispanic,2323,9%,47%,30%,15%,8%,67%
