Quarter,Total Cases,% Bail Set or Remanded
01-2020,1409,51%
04-2020,1320,52%
07-2020,1987,65%
10-2020,2634,60%
01-2021,2465,58%
04-2021,2489,56%
07-2021,3133,59%
10-2021,3184,56%
01-2022,3181,56%
04-2022,3701,60%
07-2022,3857,61%
10-2022,3367,58%
01-2023,3349,56%
04-2023,3528,57%
