Region,Race/Ethnicity,Total Count,Percent of Total,% Bail Set or Remanded,% ROR,% NMR,% Made Bail,% Assigned Counsel
Bronx,All,1167,100.00%,44.90%,31.11%,7.88%,11.91%,86.46%
Bronx,Black,855,73.26%,45.50%,29.82%,7.95%,11.35%,88.42%
Bronx,White/Non-Hispanic,19,1.63%,36.84%,52.63%,0.00%,21.05%,47.37%
NYC,All,3395,100.00%,58.20%,27.86%,8.16%,15.61%,79.12%
NYC,Black,2812,82.83%,59.03%,27.56%,7.47%,15.93%,81.15%
NYC,White/Non-Hispanic,143,4.21%,46.85%,35.66%,12.59%,13.99%,69.93%
NYS,All,7350,100.00%,58.19%,25.06%,9.58%,12.37%,78.37%
NYS,Black,5566,75.73%,60.31%,23.48%,8.77%,12.90%,81.05%
NYS,White/Non-Hispanic,615,8.37%,45.69%,35.61%,14.63%,8.46%,66.83%
