Region,Race/Ethnicity,Total Count,Percent of Total,% Bail Set or Remanded,% ROR,% NMR,% Made Bail,% Assigned Counsel
Bronx,All,214,100.00%,50.93%,8.88%,9.81%,22.43%,83.64%
Bronx,Black,167,78.04%,51.50%,8.98%,10.78%,21.56%,86.23%
Bronx,White/Non-Hispanic,1,0.47%,0.00%,0.00%,0.00%,0.00%,100.00%
NYC,All,529,100.00%,60.68%,10.21%,12.10%,19.09%,79.40%
NYC,Black,416,78.64%,64.42%,9.38%,10.58%,19.23%,84.86%
NYC,White/Non-Hispanic,26,4.91%,38.46%,11.54%,34.62%,19.23%,61.54%
NYS,All,1214,100.00%,60.54%,13.10%,11.20%,14.25%,77.84%
NYS,Black,887,73.06%,64.71%,10.82%,10.03%,14.99%,81.85%
NYS,White/Non-Hispanic,110,9.06%,43.64%,29.09%,15.45%,9.09%,71.82%
