Region,Race/Ethnicity,Total Count,Percent of Total,% Bail Set or Remanded,% ROR,% NMR,% Made Bail,% Assigned Counsel
Bronx,All,5908,100.00%,33.62%,49.68%,7.45%,4.60%,89.78%
Bronx,Black,3880,65.67%,34.95%,48.17%,7.06%,4.95%,91.03%
Bronx,White/Non-Hispanic,182,3.08%,22.53%,60.44%,9.89%,2.75%,83.52%
NYC,All,26329,100.00%,37.54%,43.42%,15.77%,4.80%,86.74%
NYC,Black,16645,63.22%,40.44%,40.76%,15.28%,5.03%,89.73%
NYC,White/Non-Hispanic,2595,9.86%,31.18%,47.82%,18.84%,4.82%,80.58%
NYS,All,64034,100.00%,38.16%,42.94%,14.73%,3.93%,81.86%
NYS,Black,34956,54.59%,42.18%,39.34%,14.28%,4.36%,87.00%
NYS,White/Non-Hispanic,12300,19.21%,32.35%,47.17%,16.14%,3.03%,74.54%
